,ICP,,,,,,,,
#,1. RESULTADOS (O que ele quer),2. O QUE PRECISA FAZER (O caminho),3. DESCULPINHAS (Justificativas),4. SONHOS (Realização),5. ERROS (O que afasta do resultado),6. MEDOS (O que pode virar realidade),7. SINAIS DO PROBLEMA (O que ele vê),8. PENSAMENTOS/VALORES (Contra o senso comum),9. HÁBITOS (Rotina operacional)
1,Bater a meta de vendas do lançamento em 48h.,"Implementar um processo de ""Demanda Represada"" digital.","""Meu mercado é muito tradicional, o digital não funciona aqui.""",Ser a maior referência em desenvolvimento imobiliário da região.,Olhar apenas cliques e curtidas em vez de contratos.,"Ficar com o estoque ""encalhado"" e pagar juros bancários e manutenção da área.",O estande de vendas está vazio mesmo com muito anúncio rodando.,"""Lead barato é o maior prejuízo que uma incorporadora pode ter.""",Olhar o CRM apenas uma vez por mês para cobrar o comercial.
2,Reduzir o CAC através de inteligência de mídia.,Integrar o CRM à API de Conversão das plataformas.,"""Já tentei agência de tráfego e só mandaram curiosos.""",Ter um VGV (Valor Geral de Vendas) 100% esgotado antes da obra acabar.,Comprar listas de leads frias e fazer spam.,Ver o concorrente vizinho esgotar as vendas e ele não.,"Corretores reclamando o dia todo que os leads ""são ruins"".","""O marketing não serve para gerar leads, serve para gerar vendas.""",Aprovar artes de anúncios baseadas apenas no próprio gosto pessoal.
3,Ter previsibilidade de receita via funil de dados.,Criar um Dashboard de BI para acompanhar métricas em tempo real.,"""Não tenho tempo para ficar olhando gráfico e planilha.""",Construir uma empresa que funcione sem a presença física do dono.,Não configurar o Pixel/API de conversão corretamente.,Ter que dar descontos agressivos para conseguir vender.,"Investimento em tráfego sobe, mas o número de visitas não acompanha.","""A inovação deve ditar o ritmo da obra, e não o contrário.""",Fazer reuniões longas sem nenhum dado ou relatório na mesa.
4,Alinhamento total (SLA) entre Marketing e Vendas.,"Definir critérios rígidos do que é um lead ""quente"" (MQL).","""O problema é que corretor é tudo preguiçoso e não liga.""",Ter a liberdade de acompanhar projetos em qualquer lugar do país.,Ignorar o pós-venda e a base de clientes antigos.,Perder a credibilidade no mercado por atrasos ou falhas.,Planilhas de Excel que não batem com os dados do CRM.,"""Consultor que não usa CRM não deve trabalhar nos meus projetos.""",Resolver problemas de TI ou suporte pessoalmente.
5,Visualizar o ROI real de cada canal unificado.,Instalar ferramentas de atribuição de vendas (tracking).,"""Essas ferramentas são muito caras e complexas para nós.""",Ser reconhecido como um visionário que usa tecnologia no setor.,Centralizar aprovação de anúncios na intuição.,Sofrer um processo judicial por promessas de marketing erradas.,O custo por venda (CAC) está maior que a comissão do corretor.,"""Outdoor e Flyer sem QR Code rastreável é jogar dinheiro fora.""",Fugir para o canteiro de obras para não encarar os números de vendas.
6,Automação da régua de relacionamento de leads.,Configurar fluxos de nutrição automáticos por perfil.,"""O cliente imobiliário quer um atendimento humano, não robô.""",Ter fluxo de caixa sobrando para comprar novas glebas.,Usar CRM apenas como agenda de telefones.,Quebrar o caixa da empresa por falta de giro no VGV.,Demora de horas (ou dias) para o primeiro contato com o lead.,"""O lançamento começa 6 meses antes da primeira pedra ser posta.""",Aceitar qualquer relatório da agência sem questionar a origem.
7,Aumentar o LTV vendendo para a base atual.,Criar um programa de fidelidade e indicação tecnológica. - Ou simplesmente processo de ativação e reciclagem,"""Meus clientes compram uma vez só na vida, não faz sentido.""",Deixar um legado de urbanismo inteligente e moderno.,Não ter SLA (acordo) entre Marketing e Vendas.,Ser engolido por grandes incorporadoras que usam tecnologia.,O dono precisa intervir em brigas entre o gerente comercial e o de mkt.,"""Dados organizados são mais valiosos que o próprio terreno no longo prazo.""",Misturar o orçamento de obra com o orçamento de marketing.
8,"Processos escaláveis sem depender de ""talentos"".",Padronizar o roteiro de vendas baseado em dados do CRM. Treinamento interno e externo.,"""Venda de imóvel é feeling, não dá para automatizar.""",Ver o valor da marca da incorporadora triplicar no mercado.,Deixar o lead na mão de imobiliária externa sem controle.,Perder os melhores talentos comerciais para a concorrência.,Alta rotatividade (turnover) na equipe de vendas e marketing.,"""Automação não afasta o cliente, a falta de atenção sim.""","Tomar decisões de investimento em mídia no ""feeling"" do almoço."
9,Implementar ecossistema Martech eficiente.,"Iniciar com Planilhas, posteriormente migrar para um gestor de Martech ou consultoria especializada.","""Ainda somos pequenos para esse nível de tecnologia.""",Poder se aposentar sabendo que a máquina de vendas continua rodando.,Fazer lançamentos sem demanda represada.,Ficar refém de portais imobiliários que aumentam o preço sempre.,Leads duplicados e falta de histórico de conversas no sistema.,"""Não somos uma vendedora de lotes, somos uma empresa de dados/financiamento.""",Gastar horas em grupos de WhatsApp em vez de olhar o funil.
10,Paz mental com rastreamento total de investimentos.,Auditar semanalmente o funil de vendas e a taxa de conversão.,"""Sempre vendi no grito e por imoiliária, pra que mudar agora?""",Ter tempo para a família enquanto o empreendimento é um sucesso absoluto.,Misturar budget de branding com o de performance.,Ter que demitir metade da equipe por falta de novos projetos.,O dono não sabe dizer qual anúncio trouxe o cliente que comprou ontem.,"""Escalabilidade só existe onde o processo é independente de pessoas.""","Adiar a contratação de ferramentas essenciais por ""serem caras""."
