Dia,Objetivo,"Nome do anúncio",Alcance,Impressões,"Valor usado (BRL)","Cliques no link","Cliques (todos)","CTR (taxa de cliques no link)","Taxa de visualizações da página de destino por cliques no link","Visualizações da página de destino",Leads,"Taxa de conversão de lead por página de destino visualizada","CPM (custo por 1.000 impressões)","CPC (custo por clique no link)","Custo por lead","Conversas por mensagem iniciadas","Início dos relatórios","Término dos relatórios"
2026-02-24,OUTCOME_LEADS,"[elite109] - [Post-it]",254,267,9,4,5,1.49812734,0,,,,33.70786517,2.25,,,2026-02-24,2026-02-24
2026-02-24,OUTCOME_LEADS,"{VENCEDOR W9} - [video101] - [Se tu é dono de loteadora] - Leads no site",0,0,0,,0,,0,1,,0,,,,,2026-02-24,2026-02-24
2026-02-24,OUTCOME_ENGAGEMENT,"[video101-tarjaVermelha] - [Se tu é dono de loteadora]",0,0,0,,0,,0,,,,,,,1,2026-02-24,2026-02-24
2026-02-24,OUTCOME_ENGAGEMENT,"[video101-tarjaVermelha] - [Se tu é dono de loteadora]",205,207,4.94,,0,,0,,,,23.8647343,,,,2026-02-24,2026-02-24
2026-02-23,OUTCOME_LEADS,"[elite108] - [Aula Exclusiva para Loteadoras]",247,261,18.96,5,4,1.91570881,0,,,,72.64367816,3.792,,,2026-02-23,2026-02-23
2026-02-23,OUTCOME_AWARENESS,"[elite107] - Implemente o método Elite na sua Loteadora",4104,4925,5.03,5,5,0.10152284,40,2,,0,1.0213198,1.006,,,2026-02-23,2026-02-23
2026-02-23,OUTCOME_LEADS,"{VENCEDOR W9} - [video101] - [Se tu é dono de loteadora]",386,419,32.14,1,5,0.23866348,0,,1,,76.70644391,32.14,32.14,,2026-02-23,2026-02-23
2026-02-23,OUTCOME_ENGAGEMENT,"[video101-tarjaVermelha] - [Se tu é dono de loteadora]",2187,2399,12.98,5,5,0.20842018,60,3,,0,5.41058774,2.596,,,2026-02-23,2026-02-23
2026-02-23,OUTCOME_ENGAGEMENT,"[video101-tarjaVermelha] - [Se tu é dono de loteadora]",731,793,17.19,12,16,1.51324086,0,,,,21.67717528,1.4325,,,2026-02-23,2026-02-23
2026-02-23,OUTCOME_LEADS,"{VENCEDOR W9} - [video101] - [Se tu é dono de loteadora] - Leads no site",167,197,55.59,125,116,63.45177665,49.6,62,1,0.01612903,282.18274112,0.44472,55.59,,2026-02-23,2026-02-23
2026-02-22,OUTCOME_LEADS,"{VENCEDOR W9} - [video101] - [Se tu é dono de loteadora] - Leads no site",118,125,23.63,79,75,63.2,48.10126582,38,,0,189.04,0.29911392,,,2026-02-22,2026-02-22
2026-02-22,OUTCOME_ENGAGEMENT,"[video101-tarjaVermelha] - [Se tu é dono de loteadora]",6193,6949,13.79,8,8,0.11512448,87.5,7,,0,1.9844582,1.72375,,,2026-02-22,2026-02-22
2026-02-22,OUTCOME_LEADS,"{VENCEDOR W9} - [video101] - [Se tu é dono de loteadora]",744,866,68.59,11,22,1.27020785,9.09090909,1,2,0,79.20323326,6.23545455,34.295,,2026-02-22,2026-02-22
2026-02-22,OUTCOME_AWARENESS,"[elite107] - Implemente o método Elite na sua Loteadora",8702,11431,12.1,11,11,0.09622955,9.09090909,1,,0,1.05852506,1.1,,,2026-02-22,2026-02-22
2026-02-21,OUTCOME_LEADS,"{VENCEDOR W9} - [video101] - [Se tu é dono de loteadora] - Leads no site",234,268,33.35,20,19,7.46268657,65,13,,0,124.44029851,1.6675,,,2026-02-21,2026-02-21
2026-02-21,OUTCOME_LEADS,"[video101-30s] - [Se tu é dono de loteadora]",176,214,16.07,33,33,15.42056075,48.48484848,16,,0,75.09345794,0.4869697,,,2026-02-21,2026-02-21
2026-02-20,OUTCOME_LEADS,"[video101-30s] - [Se tu é dono de loteadora]",133,149,19.68,37,34,24.83221477,54.05405405,20,,0,132.08053691,0.53189189,,,2026-02-20,2026-02-20
2026-02-20,OUTCOME_LEADS,"{VENCEDOR W9} - [video101] - [Se tu é dono de loteadora] - Leads no site",403,476,61.75,32,32,6.72268908,56.25,18,1,0.05555556,129.72689076,1.9296875,61.75,,2026-02-20,2026-02-20
2026-02-20,OUTCOME_LEADS,"[elite102] - [Apagar incêndios]",111,117,7.06,6,7,5.12820513,83.33333333,5,,0,60.34188034,1.17666667,,,2026-02-20,2026-02-20
2026-02-20,OUTCOME_LEADS,"[elite103a] - [Ganhe velocidade em vendas]",115,119,7.97,11,13,9.24369748,63.63636364,7,,0,66.97478992,0.72454545,,,2026-02-20,2026-02-20
2026-02-19,LINK_CLICKS,"[elite102] - [Apagar incêndios] - (Mateus)",0,0,0,,0,,0,4,,0,,,,,2026-02-19,2026-02-19
2026-02-19,OUTCOME_LEADS,"[elite102] - [Apagar incêndios]",104,119,15.5,21,20,17.64705882,57.14285714,12,,0,130.25210084,0.73809524,,,2026-02-19,2026-02-19
2026-02-19,OUTCOME_LEADS,"[video102] - [Se tu é dono de incorporadora]",60,68,11.05,12,13,17.64705882,58.33333333,7,,0,162.5,0.92083333,,,2026-02-19,2026-02-19
